t_days,range_res,rr_res
-0.0416666711563313,0.00176996737718582,-3.18940185373151e-07
-0.0415509304155906,-0.000191874802112579,2.16621445670029e-07
-0.0414351896748499,0.000106297433376312,4.25492903133318e-08
-0.0413194489341091,0.00201141089200974,-7.87660336953877e-08
-0.0412037081933684,-0.00331836938858032,-1.29249885016947e-07
-0.0410879674526276,0.00137048959732056,-1.98512155602515e-07
-0.0409722267118869,-0.000590696930885315,-1.53242653677665e-07
-0.0408564859711462,0.000811383128166199,1.17438928803892e-07
-0.0407407452304054,-0.00017162412405014,-2.76605702786981e-08
-0.0406250044896647,-0.00145857781171799,-7.56088613940165e-08
-0.0405092637489239,-0.00108790397644043,9.09194248777112e-08
-0.0403935230081832,-0.000357046723365784,1.7593499057611e-07
-0.0402777822674425,-1.93044543266296e-05,1.00502541844349e-07
-0.0401620415267017,0.00179191678762436,1.92271150112333e-07
-0.040046300785961,0.000159941613674164,1.8665871603929e-07
-0.0399305600452202,0.000514395534992218,-1.78513781534662e-09
-0.0398148193044795,0.000771872699260712,1.91860108245123e-07
-0.0396990785637387,-0.000945858657360077,-1.30324182556762e-08
-0.039583337822998,-2.74628400802612e-05,-1.13470795426451e-07
-0.0394675970822573,1.01327896118164e-06,-1.88044041671276e-07
-0.0393518563415165,0.00098535418510437,2.24096913470362e-07
-0.0392361156007758,-0.000488370656967163,2.46797940750554e-07
-0.039120374860035,1.46254897117615e-05,-2.98771067441805e-07
-0.0390046341192943,0.000705130398273468,-9.00629446576318e-08
-0.0388888933785536,-0.0014573261141777,-1.15554143143015e-07
-0.0387731526378128,0.00121825188398361,-1.6864645280279e-07
-0.0386574118970721,0.0012919008731842,1.26288817625664e-07
-0.0385416711563313,0.0001835897564888,1.47577751796746e-07
-0.0384259304155906,0.0021764412522316,1.16806828209803e-07
-0.0383101896748499,0.000546000897884369,3.40922055031001e-08
-0.0381944489341091,0.000737115740776062,1.91616726930022e-08
-0.0380787081933684,0.000130027532577515,-1.92343158289532e-07
-0.0379629674526276,0.00191490352153778,-2.0241947495947e-07
-0.0378472267118869,-0.000260315835475922,-2.69432085531207e-08
-0.0377314859711462,0.00105881690979004,-6.12902444352414e-08
-0.0376157452304054,0.000294342637062073,7.27546911605259e-09
-0.0375000044896647,0.000994443893432617,1.04673251843934e-07
-0.0373842637489239,-0.00161116570234299,1.24954052882487e-07
-0.0372685230081832,-0.00163737684488297,-3.97544570596153e-08
-0.0371527822674425,-0.000549905002117157,-1.61210262916711e-08
-0.0370370415267017,0.0013139396905899,6.99808166970683e-09
-0.036921300785961,0.000995054841041565,4.55065478632832e-08
-0.0368055600452202,-0.00124674290418625,1.17422500611752e-07
-0.0366898193044795,0.00344229489564896,2.08576006244243e-07
-0.0365740785637388,0.000366225838661194,-4.29255626599456e-08
-0.036458337822998,-0.00244714319705963,1.1609298278259e-07
-0.0363425970822573,-0.000761434435844421,9.8699719064399e-08
-0.0362268563415165,1.51246786117554e-06,2.50626358777595e-07
-0.0361111156007758,0.00225763767957687,1.84796720148483e-08
-0.035995374860035,-0.000312566757202148,1.07384055425541e-07
-0.0358796341192943,-0.000220566987991333,8.85888455925965e-08
-0.0357638933785536,0.000716820359230042,1.59734567795056e-08
-0.0356481526378128,0.000807024538516998,-7.67183414573935e-08
-0.0355324118970721,0.000566780567169189,-4.24179367186639e-08
-0.0354166711563313,-0.00129934400320053,1.0658751659065e-08
-0.0353009304155906,-0.00102465599775314,2.37471744490847e-08
-0.0351851896748499,0.000118903815746307,1.3463419623605e-07
-0.0350694489341091,0.000968478620052338,-1.75941958779902e-08
-0.0349537081933684,0.00258411467075348,8.82659749734671e-08
-0.0348379674526276,0.0011298730969429,-3.2635451230334e-08
