deltaVLTM_mps,deltaVLCM_mps,totalDV_mps,R_LCM_km,V_LCM_kmps,R_30d_km,V_30d_kmps
1096.75256822403,18.1843870389108,1114.93695526294,20759.5339670745,0.0104844286612754,0.230191680834142,0.00825222409757017
1098.81004854794,11.7506720821494,1110.56072063009,16974.1537377654,0.00605182513269266,0.176465260463525,0.00682723917343286
1110.98961228136,29.6983709528181,1140.68798323418,27656.3988637729,0.0201185782990366,0.494796194934724,0.0111299083770707
1100.00438258421,14.8588733655931,1114.8632559498,18983.6793312129,0.00823873190858969,0.217949218186422,0.00763147115953203
1099.26015036016,15.8522506650898,1115.11240102525,19627.125149097,0.00887212769725052,0.225989994475829,0.00787640529261988
1095.54496337221,13.1201438716414,1108.66510724386,17241.6467910192,0.00759314510584963,0.176529879631227,0.00691637528324051
1097.365747664,16.372981269027,1113.73872893303,19835.6640472294,0.00910001314321259,0.21568258304926,0.00791573116723164
1108.55564577577,32.5256041436699,1141.08124991943,29635.718596387,0.0221398990469327,0.555768350134826,0.0119312237802738
1092.38119979073,13.3533238655642,1105.7345236563,16973.8442397388,0.00782458577775717,0.157059544182091,0.00674467219126833
1102.00008204132,14.7257534820553,1116.72583552338,18201.0477700685,0.00891776013598892,0.214473414240892,0.00732671886888135
1100.04599333473,15.5467113325686,1115.5927046673,19462.5117794222,0.00865712312571506,0.225030839876818,0.00781750804080373
1093.42271198911,15.2468907671287,1108.66960275624,16477.6360098445,0.0108979375811441,0.173031077591907,0.00663034156654903
1094.65906014358,10.4366142316999,1105.09567437528,16025.5683735614,0.00484596112849181,0.141169300108832,0.00639232736316535
1100.96270500009,16.5713893536559,1117.53409435375,20094.9641764934,0.00945988929510407,0.240927030415188,0.00807419138465003
1087.11288810852,22.8541004313538,1109.96698853987,21281.4252149898,0.0149904012035787,0.274290147503826,0.00822005101708796
1098.76915996572,18.1383037167307,1116.90746368245,20924.1464586606,0.0104431742560904,0.238649146250137,0.00835132437107537
1095.39694104642,15.8111589655448,1111.20810001197,17389.5924935084,0.0108970036913055,0.194869970591645,0.00700268758112948
1096.97477066458,19.003004757068,1115.97777542165,21144.7010914184,0.011557584599901,0.256390538241875,0.00846144018801321
1088.1172389904,10.8943502147426,1099.01158920514,13592.4400394457,0.00742310408182167,0.111234364027722,0.00525930541563967
1102.29321071968,12.9015962131145,1115.1948069328,16521.1789244331,0.00809928769722245,0.177732078223289,0.00664027304837832
1102.18112815245,17.5807030929456,1119.76183124539,20580.6371817346,0.0104493826796347,0.262323348655011,0.00828157086584566
1095.18890956043,20.8876829902053,1116.07659255064,22080.2167709459,0.0126424473302527,0.258636806252092,0.0087328133501768
1093.79123632111,4.02137830859517,1097.8126146297,10912.5717936089,0.00425294111993713,0.0722856109428221,0.00438667227058314
1095.3638812018,13.5989895401518,1108.96287074195,17970.8169843964,0.00713046528648895,0.176468861330777,0.00716264363593487
1098.33625653575,11.3885444823591,1109.72480101811,16816.224478765,0.00565871942074564,0.170678022501032,0.00675933477733339
1092.85911541527,10.3073311421975,1103.16644655747,15214.5751720889,0.00519248057268554,0.123308204352686,0.00599223236440757
1105.57492567686,23.6386621998725,1129.21358787673,24338.0762763311,0.0150422582431759,0.357515263746592,0.00978629952110942
1099.12825810796,10.0527425748547,1109.18100068281,15860.094206985,0.00482848332099446,0.147463065972144,0.00637078088297864
1096.8497159513,20.6193449217584,1117.46906087306,21414.3414203089,0.0135354004804283,0.282581797533391,0.00860503904741533
1091.00793881298,8.11934951350247,1099.12728832648,13231.4557936518,0.00522376495848163,0.0944626797071376,0.00524775807072527
1108.25523165363,26.2713096121253,1134.52654126575,25818.6121529548,0.0172641623322386,0.419169854354732,0.0103930009931582
1093.48358892461,23.7244731524315,1117.20806207704,23449.2603355908,0.0151252106499581,0.294267010858047,0.00927163806354793
1103.64343698546,23.9064768535652,1127.54991383902,24202.211816153,0.0155530870958244,0.370946736158791,0.00974380191109837
1095.15394227838,23.5075630303951,1118.66150530878,23279.1242571549,0.0154331095662266,0.311269952503096,0.00930294686458247
1101.83953336494,21.8118953531443,1123.65142871808,23206.7711447004,0.013612836030151,0.324483537814616,0.00932535827465121
1092.53562487893,14.5115348633126,1107.04715974224,17674.678837316,0.00809853924834325,0.169245113463925,0.00693799611571788
1098.11392050126,9.8339508329956,1107.94787133425,15702.3700948354,0.00456574441285043,0.138874118497758,0.00629289952884391
1091.09100768563,18.7751339801198,1109.86614166575,18895.164454329,0.011898585722671,0.225512978949442,0.00730445853045833
1103.03525133268,17.50230755925,1120.53755889193,17501.2007795846,0.0124443595661791,0.19398167208527,0.00698635254100477
1097.85477143482,20.8665408322331,1118.72131226706,19342.1117403597,0.0151722963918939,0.24718267752683,0.00778363036290807
1103.28705823866,19.2530172193695,1122.54007545803,20694.8731219819,0.0124917852615106,0.280076221002505,0.00832891291345498
1101.37255727703,18.2766182497515,1119.64917552678,20473.2017192231,0.0114791141940601,0.268963226816602,0.00824468862727972
1095.0066218811,3.48825467715702,1098.49487655826,12034.026224605,0.0016574466601621,0.0846053033003382,0.00483014556468149
1102.67856014136,20.3791456345765,1123.05770577594,22135.0305161843,0.0127583286391693,0.308276418336212,0.00891037414447858
1098.55728076217,9.55510325926529,1108.11238402144,14036.2310884446,0.00643330052696967,0.12856740996129,0.00564750980222651
1101.43643405396,11.0675910529141,1112.50402510688,15651.637969763,0.0066696358746447,0.15340978273257,0.00629920319676924
1092.60200290744,15.8317748337697,1108.43377774121,18659.0532496509,0.00916423625582891,0.185615638466854,0.00737142722367735
1090.5157194363,28.0714212327425,1118.58714066904,24416.395704306,0.0185408553585359,0.398748696891054,0.00938802164882695
1095.0276958659,11.5565062159043,1106.5842020818,16758.770286477,0.00552725387373507,0.1526846622896,0.0066776772171359
1092.27944211908,21.079734096023,1113.3591762151,21581.3236188892,0.0129844796352797,0.253947439346904,0.00845987061199575
1092.22082487392,17.5337144243617,1109.75453929828,19537.6490262586,0.0105969521792608,0.20420033054309,0.00772080433298183
1096.18147723432,14.4645603384291,1110.64603757275,18375.2375899814,0.00816994153485695,0.195480197745626,0.00736012051395622
1102.97118800698,23.1952120273387,1126.16640003432,23749.3668191407,0.0150124993141409,0.356280147857001,0.0095607174967391
1099.54592164659,14.3827949786539,1113.92871662524,18736.97713477,0.0077845101700069,0.209217187403308,0.00752709891343014
1110.17903553173,29.1427412584644,1139.32177679019,26593.8443692413,0.0200239064118292,0.422702891212661,0.0106938084158981
1097.22080354348,17.1329852847493,1114.35378882823,20256.6706644852,0.00969876344634917,0.223990087272452,0.00807826525182515
1093.27537515089,21.2119305408457,1114.48730569174,21946.8324642167,0.0130915776045314,0.256992940154869,0.008656518097237
1095.47390910082,10.5373452697038,1106.01125437053,14594.0671945143,0.00654504368467803,0.110844774861887,0.00579088329952145
1097.41969358561,20.4629339358228,1117.88262752143,18963.6427724521,0.0149576380767454,0.237653338612532,0.00763187680556468
1089.59540352436,5.53101157523292,1095.12641509959,8130.15387590205,0.00721363542564473,0.0351243481295642,0.00321542411843648
1097.12418985212,13.315822367011,1110.44001221913,16655.9770586658,0.0085481313163287,0.178301549826805,0.00670793190857553
1093.95400244258,18.2010078834731,1112.15501032605,19984.25180386,0.0107267466482789,0.215843198933208,0.00784931148153524
1102.37279335703,14.1562820168779,1116.52907537391,16424.559015185,0.00969456881299795,0.164869329254317,0.00660825722479672
1090.06871604387,23.6256049971128,1113.69432104098,22025.827755796,0.0151712532850616,0.31108285420405,0.00849258081831063
1101.04343139916,17.7497962079601,1118.79322760712,20798.9918635597,0.0102738030711438,0.248225026268786,0.0083408351715328
