Time (s),Station ID,Range rate (km/s)
2980,4,2.479228294
2990,4,2.479274061
3000,4,2.479316335
3010,4,2.479360436
3020,4,2.479406147
3030,4,2.479451569
3040,4,2.479493343
3050,4,2.479540472
3060,4,2.479586403
3070,4,2.479631322
3080,4,2.479674106
3090,4,2.47972171
3100,4,2.479763676
3110,4,2.479807128
3120,4,2.479852457
3130,4,2.479897973
3140,4,2.479941122
3150,4,2.47998599
3160,4,2.480030904
3170,4,2.480074817
3180,4,2.480118856
3190,4,2.480163865
3200,4,2.480208734
3210,4,2.480250555
3220,4,2.480297892
3230,4,2.480341119
3240,4,2.480385578
3250,4,2.480430919
3260,4,2.480473323
3270,4,2.480516169
3280,4,2.48056137
3290,4,2.480606582
3300,4,2.480648394
3310,4,2.480694399
3320,4,2.480739732
3330,4,2.480782272
3340,4,2.480825121
3350,4,2.480871578
3360,4,2.48091413
3370,4,2.480957589
3380,4,2.480999782
3390,4,2.481045576
3400,4,2.481087506
3410,4,2.481130798
3420,4,2.481176181
3430,4,2.481221834
3440,4,2.481264186
3450,4,2.481310215
3460,4,2.481352375
3470,4,2.481396804
3480,4,2.481439162
3490,4,2.481483476
3500,4,2.481525851
3510,4,2.481569564
3520,4,2.481614587
3530,4,2.48165953
3540,4,2.481701642
3550,4,2.481745746
3560,4,2.481786351
3570,4,2.481833101
3580,4,2.48187654
3590,4,2.481918068
3600,4,2.481960472
3610,4,2.482003935
3620,4,2.482048794
3630,4,2.482091914
3640,4,2.482134736
3650,4,2.482174663
3660,4,2.482220013
3670,4,2.482263611
3680,4,2.482308559
3690,4,2.482353425
3700,4,2.482393163
3710,4,2.482435358
3720,4,2.482478111
3730,4,2.482522976
3740,4,2.482564696
3750,4,2.482606602
3760,4,2.482650969
3770,4,2.482692548
3780,4,2.482735624
3790,4,2.482779889
3800,4,2.482822114
3810,4,2.48286452
3820,4,2.482907674
3830,4,2.48295156
3840,4,2.482995662
3850,4,2.483036636
3860,4,2.483078486
3870,4,2.483122874
3880,4,2.483164026
3890,4,2.483207195
3900,4,2.483249126
3910,4,2.483293453
3920,4,2.483333579
3930,4,2.483376427
3940,4,2.483419494
3950,4,2.483463291
3960,4,2.48350552
3970,4,2.483545474
3980,4,2.483589037
3990,4,2.483630875
4000,4,2.48367248
4010,4,2.483715784
4020,4,2.483757844
4030,4,2.483799412
4040,4,2.483842567
4050,4,2.483886272
4060,4,2.483927096
4070,4,2.48396895
4080,4,2.484011859
4090,4,2.48405387
4100,4,2.484096443
4110,4,2.484137524
4120,4,2.484179666
4130,4,2.484221299
4140,4,2.484263363
4150,4,2.484304797
4160,4,2.484347509
4170,4,2.484388483
4180,4,2.484431116
4190,4,2.484472852
4200,4,2.484515501
4210,4,2.484557382
4220,4,2.484598788
4230,4,2.48464052
4240,4,2.484681482
4250,4,2.484723781
4260,4,2.484762474
4270,4,2.484807954
4280,4,2.484847562
4290,4,2.484888239
4300,4,2.484930681
4310,4,2.484971731
4320,4,2.485015188
4330,4,2.485054146
4340,4,2.485096599
4350,4,2.485137183
4360,4,2.485180306
4370,4,2.485220967
4380,4,2.485260345
4390,4,2.485303867
4400,4,2.485344552
4410,4,2.48538642
4420,4,2.485427441
4430,4,2.485467401
4440,4,2.485510882
4450,4,2.485549761
4460,4,2.485591686
4470,4,2.48563464
4480,4,2.485672114
4490,4,2.48571201
4500,4,2.485754485
4510,4,2.485795669
4520,4,2.485836481
4530,4,2.485878157
4540,4,2.485918874
4550,4,2.485960891
4560,4,2.486001711
4570,4,2.486040353
4580,4,2.486080318
4590,4,2.486121907
4600,4,2.486162291
4610,4,2.486203538
4620,4,2.486245455
4630,4,2.486285743
4640,4,2.486327384
4650,4,2.486365833
4660,4,2.486407501
4670,4,2.486446772
4680,4,2.486490037
4690,4,2.486527814
4700,4,2.486568171
4710,4,2.486606999
4720,4,2.486646057
4730,4,2.486690705
4740,4,2.486731091
4750,4,2.486768791
4760,4,2.486809649
4770,4,2.486849389
4780,4,2.486889772
4790,4,2.486932183
4800,4,2.486970987
4810,4,2.487012295
4820,4,2.487050907
4830,4,2.487091781
4840,4,2.487130067
4850,4,2.487172645
4860,4,2.487212501
4870,4,2.487251074
4880,4,2.487293705
4890,4,2.4873313
4900,4,2.487369412
4910,4,2.487410501
4920,4,2.487450428
4930,4,2.487490875
4940,4,2.487530039
4950,4,2.487570132
4960,4,2.487609191
4970,4,2.487650526
4980,4,2.487689051
4990,4,2.487728774
5000,4,2.487769311
5010,4,2.487806708
5020,4,2.487847488
5030,4,2.48788591
5040,4,2.487926172
5050,4,2.487964604
5060,4,2.488005153
5070,4,2.488043113
5080,4,2.488083393
5090,4,2.488122531
5100,4,2.488161118
5110,4,2.488200231
5120,4,2.48823963
5130,4,2.4882797
5140,4,2.488318335
5150,4,2.488357195
5160,4,2.488394673
5170,4,2.488436332
5180,4,2.488476345
5190,4,2.488514516
5200,4,2.488553096
5210,4,2.488592211
5220,4,2.488630484
5230,4,2.488669743
5240,4,2.488708861
5250,4,2.488747078
5260,4,2.48878704
5270,4,2.488823716
5280,4,2.488862781
5290,4,2.488901811
5300,4,2.488939803
5310,4,2.488979167
5320,4,2.489017556
5330,4,2.489055965
5340,4,2.489094898
5350,4,2.489136322
5360,4,2.489173481
5370,4,2.489212664
5380,4,2.489250416
5390,4,2.489289411
5400,4,2.489325983
5410,4,2.48936369
5420,4,2.489404634
5430,4,2.489440283
5440,4,2.489479865
5450,4,2.489518785
5460,4,2.489557484
5470,4,2.489595399
5480,4,2.489632409
5490,4,2.489670851
5500,4,2.48970833
5510,4,2.489747535
5520,4,2.489784047
5530,4,2.489821862
5540,4,2.489861387
5550,4,2.489898386
5560,4,2.489935787
5570,4,2.489972306
5580,4,2.490011933
5590,4,2.49005061
5600,4,2.490088676
5610,4,2.490125036
5620,4,2.490163308
5630,4,2.490201013
5640,4,2.490239425
5650,4,2.490277119
5660,4,2.490313378
5670,4,2.490351483
5680,4,2.490388806
5690,4,2.490428005
5700,4,2.49046548
5710,4,2.490502402
5720,4,2.49053841
5730,4,2.490577799
5740,4,2.49061378
5750,4,2.490650315
5760,4,2.490688272
5770,4,2.490725443
5780,4,2.490762792
5790,4,2.490800229
5800,4,2.490837624
5810,4,2.490875337
5820,4,2.490912619
5830,4,2.490950889
5840,4,2.490985991
5850,4,2.491022325
5860,4,2.491060074
5870,4,2.491097667
5880,4,2.491133644
5890,4,2.491170424
5900,4,2.491208635
5910,4,2.491245371
5920,4,2.491279913
5930,4,2.49131863
5940,4,2.491355628
5950,4,2.491391789
5960,4,2.491429986
5970,4,2.491467426
5980,4,2.491501858
5990,4,2.491536576
6000,4,2.491574299
6010,4,2.491611068
6020,4,2.491647299
6030,4,2.491684294
6040,4,2.491721823
6050,4,2.491757433
6060,4,2.491792884
6070,4,2.491830335
6080,4,2.491866465
6090,4,2.491902918
6100,4,2.491939021
6110,4,2.491977395
6120,4,2.492012006
6130,4,2.492047639
6140,4,2.49208487
6150,4,2.492120474
6160,4,2.492156004
6170,4,2.492191283
6180,4,2.492227803
6190,4,2.492264536
6200,4,2.492298998
6210,4,2.492334868
6220,4,2.49237248
6230,4,2.492407516
6240,4,2.492441399
6250,4,2.492480386
6260,4,2.492514472
6270,4,2.492552376
6280,4,2.492586383
6290,4,2.49262203
6300,4,2.492657296
6310,4,2.492692995
6320,4,2.492728763
6330,4,2.492763799
6340,4,2.492799651
6350,4,2.492836013
6360,4,2.49287034
6370,4,2.492905606
6380,4,2.492942745
6390,4,2.492978965
6400,4,2.493012593
6410,4,2.493048725
6420,4,2.493083031
6430,4,2.493119694
6440,4,2.493154583
6450,4,2.493188583
6460,4,2.493225016
6470,4,2.493258341
6480,4,2.493292739
6490,4,2.493329194
6500,4,2.493365164
6510,4,2.493398285
6520,4,2.493433633
6530,4,2.493470219
6540,4,2.493504329
6550,4,2.493538987
6560,4,2.493574205
6570,4,2.493609428
6580,4,2.493642323
6590,4,2.493678516
6600,4,2.493712312
6610,4,2.493746576
6620,4,2.493783047
6630,4,2.493817423
6640,4,2.4938507
6650,4,2.493884955
6660,4,2.493919935
6670,4,2.493956278
6680,4,2.493988836
6690,4,2.494022712
6700,4,2.494057644
6710,4,2.494092029
6720,4,2.494126434
6730,4,2.494161341
6740,4,2.494195029
6750,4,2.494228873
6760,4,2.494262395
6770,4,2.494295142
6780,4,2.494332552
6790,4,2.494364643
6800,4,2.494398976
6810,4,2.494432149
6820,4,2.494467796
6830,4,2.494501435
6840,4,2.494534233
6850,4,2.49456905
6860,4,2.494602554
6870,4,2.494637028
6880,4,2.494669991
6890,4,2.494704801
6900,4,2.494736953
6910,4,2.494771145
6920,4,2.494806729
6930,4,2.494839115
6940,4,2.494872665
6950,4,2.494905925
6960,4,2.49493874
6970,4,2.494973156
6980,4,2.495006987
6990,4,2.495040703
7000,4,2.495073876
7010,4,2.495104681
7020,4,2.495142579
7030,4,2.495174712
7040,4,2.49520612
7050,4,2.495239478
7060,4,2.495273543
7070,4,2.495306022
7080,4,2.495339185
7090,4,2.495372411
7100,4,2.495405045
7110,4,2.495440045
7120,4,2.495469843
7130,4,2.495505478
7140,4,2.495537965
7150,4,2.495571109
7160,4,2.495602625
7170,4,2.495634453
7180,4,2.495668395
7190,4,2.4957029
7200,4,2.495735035
7210,4,2.49576676
7220,4,2.495799515
7230,4,2.495831602
7240,4,2.495864339
7250,4,2.495897919
7260,4,2.495931641
7270,4,2.495963644
7280,4,2.495996285
7290,4,2.496027139
7300,4,2.496059839
7310,4,2.496093314
7320,4,2.496126119
7330,4,2.49615743
7340,4,2.496189822
7350,4,2.49622145
7360,4,2.49625273
7370,4,2.496285559
69020,4,2.347860847
69030,4,2.347894082
69040,4,2.347927463
69050,4,2.347960205
69060,4,2.347993665
69070,4,2.348027436
69080,4,2.348061006
69090,4,2.348096125
69100,4,2.348129239
69110,4,2.348162181
69120,4,2.348196224
69130,4,2.348229151
69140,4,2.348264136
69150,4,2.348295835
69160,4,2.348331131
69170,4,2.348363222
69180,4,2.348399053
69190,4,2.348432458
69200,4,2.348466517
69210,4,2.348501534
69220,4,2.348535894
69230,4,2.348568282
69240,4,2.348600926
69250,4,2.348636354
69260,4,2.348670064
69270,4,2.348705661
69280,4,2.348738133
69290,4,2.348773964
69300,4,2.348806653
69310,4,2.348840849
69320,4,2.348877044
69330,4,2.348910939
69340,4,2.348945577
69350,4,2.34898075
69360,4,2.349013324
69370,4,2.349048486
69380,4,2.34908269
69390,4,2.349117492
69400,4,2.349154127
69410,4,2.349187539
69420,4,2.349222095
69430,4,2.34925916
69440,4,2.349291906
69450,4,2.349325888
69460,4,2.349360452
69470,4,2.349394719
69480,4,2.349431202
69490,4,2.34946479
69500,4,2.349497987
69510,4,2.349537224
69520,4,2.349571382
69530,4,2.349604871
69540,4,2.349641108
69550,4,2.349675051
69560,4,2.349710163
69570,4,2.349746172
69580,4,2.349780792
69590,4,2.349816425
69600,4,2.349851789
69610,4,2.349885467
69620,4,2.349923377
69630,4,2.3499575
69640,4,2.34999208
69650,4,2.350030269
69660,4,2.350064455
69670,4,2.350099303
69680,4,2.350136428
69690,4,2.350170687
69700,4,2.350206866
69710,4,2.350242942
69720,4,2.350277963
69730,4,2.350314237
69740,4,2.35034824
69750,4,2.350385404
69760,4,2.350422276
69770,4,2.350458203
69780,4,2.350492581
69790,4,2.350527777
69800,4,2.350563051
69810,4,2.350601555
69820,4,2.350634926
69830,4,2.3506697
69840,4,2.350709602
69850,4,2.350742821
69860,4,2.35077983
69870,4,2.350815039
69880,4,2.35085071
69890,4,2.350888914
69900,4,2.350922674
69910,4,2.350960548
69920,4,2.350997356
69930,4,2.351033548
69940,4,2.351069045
69950,4,2.351107475
69960,4,2.351139538
69970,4,2.351179411
69980,4,2.351215292
69990,4,2.351251714
70000,4,2.351288409
70010,4,2.35132485
70020,4,2.351362876
70030,4,2.351396817
70040,4,2.351437135
70050,4,2.351472446
70060,4,2.351506852
70070,4,2.351546222
70080,4,2.351581283
70090,4,2.351618019
70100,4,2.351653934
70110,4,2.351692538
70120,4,2.35172919
70130,4,2.351764666
70140,4,2.351801376
70150,4,2.351839945
70160,4,2.35187637
70170,4,2.35191304
70180,4,2.351950081
70190,4,2.351987615
70200,4,2.352024385
70210,4,2.352062666
70220,4,2.352098921
70230,4,2.352136786
70240,4,2.352172633
70250,4,2.352210902
70260,4,2.352249927
70270,4,2.352285013
70280,4,2.352322972
70290,4,2.352360238
70300,4,2.352396452
70310,4,2.352435598
70320,4,2.352474392
70330,4,2.352511633
70340,4,2.352547275
70350,4,2.352584122
70360,4,2.35262321
70370,4,2.352659181
70380,4,2.352699378
70390,4,2.352735564
70400,4,2.352774853
70410,4,2.352810565
70420,4,2.352848342
70430,4,2.352885774
70440,4,2.352923858
70450,4,2.35296289
70460,4,2.352999681
70470,4,2.35303621
70480,4,2.353076495
70490,4,2.353114069
70500,4,2.353151606
70510,4,2.353191371
70520,4,2.353227124
70530,4,2.353266
70540,4,2.353303774
70550,4,2.353344556
70560,4,2.353382675
70570,4,2.353420567
70580,4,2.353458841
70590,4,2.353496509
70600,4,2.353533477
70610,4,2.353571957
70620,4,2.353612656
70630,4,2.35364911
70640,4,2.353689157
70650,4,2.353726483
70660,4,2.35376432
70670,4,2.353804154
70680,4,2.353840398
70690,4,2.353880984
70700,4,2.353919186
70710,4,2.353957303
70720,4,2.353996423
70730,4,2.354037309
70740,4,2.354075715
70750,4,2.354113609
70760,4,2.354152384
70770,4,2.354188396
70780,4,2.354230557
70790,4,2.354268117
70800,4,2.354307477
70810,4,2.354345373
70820,4,2.354385852
70830,4,2.354422929
70840,4,2.354463395
70850,4,2.354501664
70860,4,2.354540719
70870,4,2.354579876
70880,4,2.35462026
70890,4,2.354658484
70900,4,2.354697543
70910,4,2.354738257
70920,4,2.35477523
70930,4,2.354815243
70940,4,2.354854757
70950,4,2.354893362
70960,4,2.354932394
70970,4,2.354973246
70980,4,2.35501329
70990,4,2.355052067
71000,4,2.355092823
71010,4,2.35513141
71020,4,2.355171049
71030,4,2.355210748
71040,4,2.355249919
71050,4,2.355289022
71060,4,2.355329705
71070,4,2.355370142
71080,4,2.355410788
71090,4,2.355447916
71100,4,2.35548841
71110,4,2.355526215
71120,4,2.355569054
71130,4,2.35560767
71140,4,2.355647104
71150,4,2.355686532
71160,4,2.355728484
71170,4,2.355766344
71180,4,2.355807769
71190,4,2.355847785
71200,4,2.355888967
71210,4,2.355929003
71220,4,2.35596842
71230,4,2.35600895
71240,4,2.356048966
71250,4,2.356089198
71260,4,2.3561281
71270,4,2.356168825
71280,4,2.356208626
71290,4,2.356248658
71300,4,2.356292294
71310,4,2.356330252
71320,4,2.356369621
71330,4,2.356411814
71340,4,2.356451646
71350,4,2.356492645
71360,4,2.356535194
71370,4,2.356573967
71380,4,2.356615199
71390,4,2.356654857
71400,4,2.356693608
71410,4,2.356737483
71420,4,2.356776925
71430,4,2.356816893
71440,4,2.356858805
71450,4,2.356899227
71460,4,2.356940776
71470,4,2.356980765
71480,4,2.35702172
71490,4,2.357061843
71500,4,2.357104694
71510,4,2.357143898
71520,4,2.357185903
71530,4,2.357224932
71540,4,2.357267346
71550,4,2.357307662
71560,4,2.357348754
71570,4,2.357388982
71580,4,2.357431662
71590,4,2.357472693
71600,4,2.357513416
71610,4,2.357554356
71620,4,2.357594881
71630,4,2.357638107
71640,4,2.357678405
71650,4,2.357721175
71660,4,2.357763017
71670,4,2.357804126
71680,4,2.357845632
71690,4,2.357885342
71700,4,2.3579264
71710,4,2.357968894
71720,4,2.358010364
71730,4,2.35805165
71740,4,2.35809405
71750,4,2.358134564
71760,4,2.35817781
71770,4,2.358217264
71780,4,2.358260346
71790,4,2.358300703
71800,4,2.358342075
71810,4,2.35838476
71820,4,2.358426
71830,4,2.358469304
71840,4,2.358509696
71850,4,2.358553463
71860,4,2.358593896
71870,4,2.358636992
71880,4,2.35867788
71890,4,2.358719812
71900,4,2.358762124
71910,4,2.358804495
71920,4,2.358846527
71930,4,2.358888495
71940,4,2.35893028
71950,4,2.358972229
71960,4,2.359015115
71970,4,2.359057114
71980,4,2.359100357
71990,4,2.359140518
72000,4,2.35918362
72010,4,2.35922525
72020,4,2.359267233
72030,4,2.359309385
72040,4,2.3593529
72050,4,2.359394955
72060,4,2.359435611
72070,4,2.359480797
72080,4,2.359522879
72090,4,2.359566113
72100,4,2.359606892
72110,4,2.359650158
72120,4,2.359691591
72130,4,2.359736273
72140,4,2.359778606
72150,4,2.359820087
72160,4,2.359862241
72170,4,2.35990862
72180,4,2.359946197
72190,4,2.359993306
72200,4,2.36003498
72210,4,2.360075419
72220,4,2.360120158
72230,4,2.360162797
72240,4,2.360204848
72250,4,2.360249769
72260,4,2.360291509
72270,4,2.360335182
72280,4,2.360377661
72290,4,2.360419857
72300,4,2.360463059
72310,4,2.360507618
72320,4,2.360549065
72330,4,2.360592739
72340,4,2.360634938
72350,4,2.36067921
72360,4,2.360722658
72370,4,2.360767127
72380,4,2.360809657
72390,4,2.360851226
72400,4,2.360893743
72410,4,2.360937756
72420,4,2.360981827
72430,4,2.361024166
72440,4,2.361068033
72450,4,2.361113437
72460,4,2.361157118
72470,4,2.36120077
72480,4,2.361243291
72490,4,2.361283216
72500,4,2.361330531
72510,4,2.361373378
72520,4,2.36141747
72530,4,2.36145871
72540,4,2.361507714
72550,4,2.361548874
72560,4,2.361592995
72570,4,2.361634679
72580,4,2.361677255
72590,4,2.361724195
72600,4,2.361765501
72610,4,2.361810585
72620,4,2.361854565
72630,4,2.361897041
72640,4,2.361941027
72650,4,2.361985998
72660,4,2.362031026
72670,4,2.362075121
72680,4,2.362118657
72690,4,2.362162916
72700,4,2.362206797
72710,4,2.362248319
72720,4,2.362294071
72730,4,2.362338279
72740,4,2.362381695
72750,4,2.362425324
72760,4,2.362468559
72770,4,2.362514269
72780,4,2.362558895
72790,4,2.362603706
72800,4,2.362647392
72810,4,2.362690946
72820,4,2.362736977
72830,4,2.362780882
72840,4,2.362822943
72850,4,2.362869812
72860,4,2.362913585
72870,4,2.362958892
72880,4,2.363002605
72890,4,2.363048778
72900,4,2.363092674
72910,4,2.363137758
72920,4,2.363183443
72930,4,2.363226569
72940,4,2.363270579
72950,4,2.363315664
72960,4,2.363359116
72970,4,2.363404554
72980,4,2.363449327
72990,4,2.363495189
73000,4,2.363539055
73010,4,2.363583518
73020,4,2.363627323
73030,4,2.363675203
73040,4,2.363719551
73050,4,2.363762352
73060,4,2.363807834
73070,4,2.363852957
73080,4,2.36389775
73090,4,2.363945077
73100,4,2.363987367
73110,4,2.364032749
73120,4,2.364077761
73130,4,2.3641236
73140,4,2.364169505
73150,4,2.364210942
73160,4,2.364257546
73170,4,2.364304467
73180,4,2.364350541
73190,4,2.364393783
73200,4,2.364437203
73210,4,2.364485689
73220,4,2.364531369
73230,4,2.364574574
73240,4,2.364619994
73250,4,2.364664401
73260,4,2.364711963
73270,4,2.364757831
73280,4,2.364801169
73290,4,2.364848185
73300,4,2.364892862
73310,4,2.364938661
73320,4,2.364984679
73330,4,2.365028016
73340,4,2.365077022
73350,4,2.365121345
73360,4,2.365167383
73370,4,2.365211494
73380,4,2.365257033
73390,4,2.365303313
73400,4,2.365349973
73410,4,2.365394502
73420,4,2.365439145
73430,4,2.36548783
73440,4,2.365532937
73450,4,2.365577738
73460,4,2.365625353
73470,4,2.365670603
73480,4,2.365715855
73490,4,2.365759744
73500,4,2.365808488
73510,4,2.365852922
73520,4,2.365898461
73530,4,2.365945505
73540,4,2.365991208
73550,4,2.366038345
73560,4,2.366084443
73570,4,2.366131928
73580,4,2.366175387
73590,4,2.366223629
73600,4,2.36626851
73610,4,2.366315703
73620,4,2.366361877
73630,4,2.366407162
73640,4,2.366455374
73650,4,2.366500031
73660,4,2.366547165
73670,4,2.366593519
73680,4,2.366637806
73690,4,2.366684514
73700,4,2.366729523
73710,4,2.366778758
73720,4,2.366823656
73730,4,2.366869704
73740,4,2.366917113
73750,4,2.366966403
73760,4,2.367009304
73770,4,2.367058064
73780,4,2.367103897
73790,4,2.367149344
73800,4,2.367196871
73810,4,2.367243141
73820,4,2.367289192
73830,4,2.367336593
73840,4,2.367383595
73850,4,2.367428926
73860,4,2.367476641
73870,4,2.367523885
73880,4,2.367570186
73890,4,2.367617023
73900,4,2.367664012
73910,4,2.367710228
73920,4,2.367758502
73930,4,2.367805344
73940,4,2.367852609
73950,4,2.36789704
73960,4,2.367945501
73970,4,2.367991476
73980,4,2.368038993
73990,4,2.368086378
74000,4,2.368132683
74010,4,2.368180822
74020,4,2.368226853
74030,4,2.368276775
74040,4,2.368320467
74050,4,2.368370035
74060,4,2.368416655
74070,4,2.368464028
74080,4,2.368510615
74090,4,2.368557642
74100,4,2.368603775
74110,4,2.368649716
74120,4,2.368699769
74130,4,2.368748215
74140,4,2.368794894
74150,4,2.368841099
74160,4,2.368888469
74170,4,2.368938169
74180,4,2.368982861
74190,4,2.369031114
74200,4,2.369080799
74210,4,2.369127573
74220,4,2.369174012
74230,4,2.369221363
74240,4,2.369268401
74250,4,2.369315637
74260,4,2.369364618
74270,4,2.369412408
74280,4,2.3694588
74290,4,2.369507005
74300,4,2.369553604
74310,4,2.369600117
74320,4,2.369649281
74330,4,2.369697638
74340,4,2.369745851
74350,4,2.369792959
74360,4,2.369839939
74370,4,2.369888017
74380,4,2.369935321
74390,4,2.369982692
