filter,span,x_prior,x_est,x_sig,y_prior,y_est,y_sig,z_prior,z_est,z_sig,vx_prior,vx_est,vx_sig,vy_prior,vy_est,vy_sig,vz_prior,vz_est,vz_sig,k_SRP_prior,k_SRP_est,k_SRP_sig,lat4_prior,lat4_est,lat4_sig,lon4_prior,lon4_est,lon4_sig,bias_rr_prior,bias_rr_est,bias_rr_sig
EKF,0to6,106762314.708526,94806710.7287428,97.4484585856783,114875704.577315,124082669.067074,53.0800754092782,-32162.7221208,-83567.1422505465,269.401678975473,-22.1485058735342,-23.9537774725359,3.47549096556245e-05,18.81431221705,16.6675616789492,4.44908505154978e-05,-0.09877450738222,-0.0985153293090147,0.000541802264923196,1,0.699682381427998,0.332792785454543,-1.39626340159546,-1.39451323772278,9.2395182795343e-07,0,0.00176185116787639,4.47572735184211e-06,0,2.50098438815562e-06,3.32907568291373e-05
EKF,0to14,106762314.708526,77506023.0826346,0.186400271327557,114875704.577315,134533573.006056,0.949333782716677,-32162.7221208,-142765.230383067,0.97350662229595,-22.1485058735342,-26.0496773003183,9.93127661001675e-07,18.81431221705,13.5211131267264,5.63929889032066e-06,-0.09877450738222,-0.088841862046971,5.12080039532539e-06,1,-12.2676049245461,0.292389512390477,-1.39626340159546,-1.39451686310189,8.64710781372011e-07,0,0.00174469865842014,4.24538615078234e-06,0,2.50098438815562e-06,3.32907568291373e-05
BATCH,0to6,106762314.708526,106763459.371479,89.641155363282,114875704.577315,114878270.297341,37.4293614023764,-32162.7221208,-32539.9561178453,17.1373161448945,-22.1485058735342,-22.1436033755782,1.46349843854122e-05,18.81431221705,18.8140896056107,1.07479853720809e-05,-0.09877450738222,-0.0926000966571213,4.28194385126461e-05,0.699682381427998,0.699682381427998,0.333333333333333,-1.39626340159546,-1.39451808335153,2.96024444568759e-07,0,0.00174543455552732,7.62244432108977e-07,0,9.917459980621e-05,1.10123862130229e-05
BATCH,0to14,106762314.708526,106765742.699815,0.128246750971169,114875704.577315,114877257.419739,0.303884086187375,-32162.7221208,-32580.8148892211,1.27553335715651,-22.1485058735342,-22.1433657826883,7.03325210279647e-08,18.81431221705,18.8143769912037,3.10163448456465e-08,-0.09877450738222,-0.0925964327836911,1.41462884590629e-06,0.699682381427998,0.699682381427998,0.333333333333333,-1.39626340159546,-1.39451859931071,2.95866007732752e-07,0,0.00174770103024431,7.50130006611615e-07,0,1.63063010076456e-06,3.92946331567486e-09
