t_days,station,prefit_rr_kmps,postfit_rr_kmps,prefit_rho_km,postfit_rho_km
0,4,0.00559199588789738,-0.000125489252550626,NaN,NaN
0.000115740740740741,4,-0.000134811479636898,4.0699472271033e-05,NaN,NaN
0.000231481481481481,4,3.11515207855884e-05,4.19583862187878e-06,NaN,NaN
0.000347222222222222,4,-3.04595446953826e-06,-1.92644015584165e-06,NaN,NaN
0.000462962962962963,4,-1.05584430389882e-05,-7.81129582483331e-06,NaN,NaN
0.000578703703703704,4,-1.76977125847522e-05,-1.40956446381679e-05,NaN,NaN
0.000694444444444444,4,-2.00649198225378e-05,-1.66915402179946e-05,NaN,NaN
0.000810185185185185,4,-2.60250350665459e-05,-2.22881752258708e-05,NaN,NaN
0.000925925925925926,4,-3.02326213419413e-05,-2.64276554822196e-05,NaN,NaN
0.00104166666666667,4,-3.71464898987206e-05,-3.29498048254884e-05,NaN,NaN
0.00115740740740741,4,-4.0827531775367e-05,-3.65559674477822e-05,NaN,NaN
0.00127314814814815,4,-4.43235613589721e-05,-3.97711233595111e-05,NaN,NaN
0.00138888888888889,4,-4.77278615784726e-05,-4.24495807926917e-05,NaN,NaN
0.00150462962962963,4,-5.14964208022661e-05,-4.46245664238454e-05,NaN,NaN
0.00162037037037037,4,-5.03322615141855e-05,-4.15476736965736e-05,NaN,NaN
0.00173611111111111,4,-4.51736059479124e-05,-3.50843406375922e-05,NaN,NaN
0.00185185185185185,4,-4.10412565838847e-05,-3.04160945567844e-05,NaN,NaN
0.00196759259259259,4,-3.61334763758769e-05,-2.63178143007359e-05,NaN,NaN
0.00208333333333333,4,-2.92274147453142e-05,-2.14985506805654e-05,NaN,NaN
0.00219907407407407,4,-2.43419213488139e-05,-1.83505374455883e-05,NaN,NaN
0.00231481481481481,4,-2.12023523395999e-05,-1.64214992968148e-05,NaN,NaN
0.00243055555555556,4,-1.87462401783911e-05,-1.48798215251489e-05,NaN,NaN
0.0025462962962963,4,-1.92376258052462e-05,-1.55905320209371e-05,NaN,NaN
0.00266203703703704,4,-1.72278307273288e-05,-1.4202223853399e-05,NaN,NaN
0.00277777777777778,4,-1.6689989862595e-05,-1.39590068437556e-05,NaN,NaN
0.00289351851851852,4,-1.48923575955529e-05,-1.26073726445242e-05,NaN,NaN
0.00300925925925926,4,-1.58111367412062e-05,-1.35232193896329e-05,NaN,NaN
0.003125,4,-1.70053764967371e-05,-1.46714734765574e-05,NaN,NaN
0.00324074074074074,4,-1.60192344100807e-05,-1.39244235373148e-05,NaN,NaN
0.00335648148148148,4,-1.40235550469825e-05,-1.22689327572978e-05,NaN,NaN
0.00347222222222222,4,-1.42408831034224e-05,-1.25291801693628e-05,NaN,NaN
0.00358796296296296,4,-1.67653188727357e-05,-1.48242187725245e-05,NaN,NaN
0.0037037037037037,4,-1.4746121391962e-05,-1.30982630182075e-05,NaN,NaN
0.00381944444444444,4,-1.61428546934239e-05,-1.43962117640228e-05,NaN,NaN
0.00393518518518518,4,-1.48884859401122e-05,-1.33262664299139e-05,NaN,NaN
0.00405092592592593,4,-1.38400318725473e-05,-1.24274652590906e-05,NaN,NaN
0.00416666666666667,4,-1.35247813330963e-05,-1.21787081086566e-05,NaN,NaN
0.00428240740740741,4,-1.39766338045355e-05,-1.2618098478967e-05,NaN,NaN
0.00439814814814815,4,-1.28289625309641e-05,-1.16096047304559e-05,NaN,NaN
0.00451388888888889,4,-1.3166142566412e-05,-1.19399490690064e-05,NaN,NaN
0.00462962962962963,4,-1.2965853530833e-05,-1.17818277902693e-05,NaN,NaN
0.00474537037037037,4,-1.39262366483095e-05,-1.26784005258784e-05,NaN,NaN
0.00486111111111111,4,-1.38084194256649e-05,-1.25945632030167e-05,NaN,NaN
0.00497685185185185,4,-1.40850853354024e-05,-1.28693349550346e-05,NaN,NaN
0.00509259259259259,4,-1.40465637916698e-05,-1.28555476512915e-05,NaN,NaN
0.00520833333333333,4,-1.15459849987509e-05,-1.05825889562539e-05,NaN,NaN
