Time (s),Station ID,Range (km),Range Rate (km/s)
598550,3,59112820.97,2.178160998
598560,3,59112842.76,2.178411437
598570,3,59112864.55,2.17866207
598580,3,59112886.33,2.178912238
598590,3,59112908.12,2.179162724
598600,3,59112929.92,2.179413398
598610,3,59112951.71,2.17966386
598620,3,59112973.51,2.179914434
598630,3,59112995.31,2.180164949
598640,3,59113017.11,2.180415442
598650,3,59113038.92,2.18066621
598660,3,59113060.73,2.18091674
598670,3,59113082.53,2.181167495
598680,3,59113104.35,2.181418157
598690,3,59113126.16,2.181668758
598700,3,59113147.98,2.181919868
598710,3,59113169.8,2.182170324
598720,3,59113191.63,2.182421037
598730,3,59113213.45,2.182672023
598740,3,59113235.28,2.182922603
598750,3,59113257.11,2.183173608
598760,3,59113278.94,2.183424527
598770,3,59113300.78,2.183675335
598780,3,59113322.62,2.183926372
598790,3,59113344.46,2.184177373
598800,3,59113366.3,2.184428249
598810,3,59113388.15,2.184679297
598820,3,59113409.99,2.184930101
598830,3,59113431.84,2.185181271
598840,3,59113453.7,2.185432144
598850,3,59113475.55,2.185683243
598860,3,59113497.41,2.185934244
598870,3,59113519.27,2.186185708
598880,3,59113541.14,2.186436732
598890,3,59113563,2.186687863
598900,3,59113584.87,2.186938824
598910,3,59113606.74,2.187190063
598920,3,59113628.61,2.187441119
598930,3,59113650.49,2.187692511
598940,3,59113672.37,2.187943698
598950,3,59113694.25,2.188195026
598960,3,59113716.13,2.188446251
598970,3,59113738.02,2.188697422
598980,3,59113759.9,2.188948839
598990,3,59113781.8,2.189200141
599000,3,59113803.69,2.189451686
599010,3,59113825.58,2.189702744
599020,3,59113847.48,2.189954247
599030,3,59113869.38,2.190205934
599040,3,59113891.29,2.190457146
599050,3,59113913.19,2.190708425
599060,3,59113935.1,2.19096002
599070,3,59113957.01,2.191211468
599080,3,59113978.92,2.191463154
599090,3,59114000.84,2.191714334
599100,3,59114022.76,2.191966171
599110,3,59114044.68,2.192217542
599120,3,59114066.6,2.192469151
599130,3,59114088.53,2.192720846
599140,3,59114110.46,2.192972199
599150,3,59114132.39,2.193223854
599160,3,59114154.32,2.193475341
599170,3,59114176.26,2.193727338
599180,3,59114198.19,2.193978859
599190,3,59114220.14,2.194230432
599200,3,59114242.08,2.194482251
599210,3,59114264.03,2.194733983
599220,3,59114285.98,2.194985535
599230,3,59114307.93,2.195237203
599240,3,59114329.88,2.195489052
599250,3,59114351.83,2.195740969
599260,3,59114373.79,2.195992545
599270,3,59114395.75,2.196244644
599280,3,59114417.72,2.19649629
599290,3,59114439.69,2.196748053
599300,3,59114461.65,2.196999976
599310,3,59114483.63,2.197251761
599320,3,59114505.6,2.197503677
599330,3,59114527.58,2.197755586
599340,3,59114549.56,2.198007527
599350,3,59114571.54,2.198259377
599360,3,59114593.52,2.198511125
599370,3,59114615.5,2.198763105
599380,3,59114637.5,2.199015166
599390,3,59114659.49,2.199267245
599400,3,59114681.48,2.199519053
599410,3,59114703.48,2.199770991
599420,3,59114725.48,2.200023222
599430,3,59114747.48,2.200275192
599440,3,59114769.48,2.200527161
599450,3,59114791.49,2.200779175
599460,3,59114813.5,2.201031273
599470,3,59114835.51,2.201283215
599480,3,59114857.52,2.201535424
599490,3,59114879.54,2.201787649
599500,3,59114901.56,2.202039707
599510,3,59114923.58,2.202291789
599520,3,59114945.6,2.202543911
599530,3,59114967.63,2.202795952
599540,3,59114989.66,2.203048088
599550,3,59115011.69,2.203300341
599560,3,59115033.73,2.203552438
599570,3,59115055.76,2.203804633
599580,3,59115077.8,2.204056848
599590,3,59115099.85,2.20430921
599600,3,59115121.89,2.204561425
599610,3,59115143.94,2.204813267
599620,3,59115165.98,2.205065959
599630,3,59115188.04,2.205318146
599640,3,59115210.09,2.20557015
599650,3,59115232.15,2.205822684
599660,3,59115254.21,2.206074671
599670,3,59115276.27,2.206326987
599680,3,59115298.34,2.20657944
599690,3,59115320.4,2.206831715
599700,3,59115342.47,2.207084114
599710,3,59115364.54,2.20733618
599720,3,59115386.62,2.207588523
599730,3,59115408.69,2.207840868
599740,3,59115430.78,2.208093475
599750,3,59115452.86,2.208345716
599760,3,59115474.94,2.208597989
599770,3,59115497.03,2.208850494
599780,3,59115519.12,2.20910284
599790,3,59115541.21,2.209355183
599800,3,59115563.31,2.209607562
599810,3,59115585.4,2.20985998
599820,3,59115607.5,2.210112323
599830,3,59115629.61,2.210364898
599840,3,59115651.71,2.210617189
599850,3,59115673.82,2.210869655
599860,3,59115695.93,2.211122141
599870,3,59115718.04,2.211374607
599880,3,59115740.16,2.211627095
599890,3,59115762.27,2.211879607
599900,3,59115784.39,2.212131959
599910,3,59115806.52,2.212384577
599920,3,59115828.64,2.212636919
599930,3,59115850.77,2.212889383
599940,3,59115872.9,2.213141902
599950,3,59115895.03,2.213394316
599960,3,59115917.17,2.213646783
599970,3,59115939.3,2.213899137
599980,3,59115961.44,2.214151629
599990,3,59115983.59,2.214404425
600000,3,59116005.73,2.214657136
600010,3,59116027.88,2.21490937
600020,3,59116050.03,2.215162197
600030,3,59116072.18,2.21541425
600040,3,59116094.34,2.215667231
600050,3,59116116.5,2.215919641
600060,3,59116138.66,2.216172106
600070,3,59116160.82,2.216424765
600080,3,59116182.99,2.216677206
600090,3,59116205.15,2.216929841
600100,3,59116227.32,2.217182324
600110,3,59116249.5,2.217435049
600120,3,59116271.67,2.217687456
600130,3,59116293.85,2.217940003
600140,3,59116316.03,2.218192813
600150,3,59116338.21,2.218445244
600160,3,59116360.4,2.21869784
600170,3,59116382.59,2.218950543
600180,3,59116404.78,2.219202828
600190,3,59116426.97,2.21945551
600200,3,59116449.17,2.219708376
600210,3,59116471.37,2.219960791
600220,3,59116493.57,2.220213591
600230,3,59116515.77,2.220465962
600240,3,59116537.98,2.220718659
600250,3,59116560.19,2.220971177
600260,3,59116582.4,2.221223843
600270,3,59116604.61,2.221476265
600280,3,59116626.83,2.221729135
600290,3,59116649.04,2.221981454
600300,3,59116671.27,2.22223433
600310,3,59116693.49,2.222486873
600320,3,59116715.72,2.222739657
600330,3,59116737.94,2.222992132
600340,3,59116760.18,2.22324471
600350,3,59116782.41,2.223497153
600360,3,59116804.64,2.223749702
600370,3,59116826.88,2.224002625
600380,3,59116849.13,2.224255144
600390,3,59116871.37,2.22450756
600400,3,59116893.62,2.22476036
600410,3,59116915.86,2.225012932
600420,3,59116938.12,2.225265515
600430,3,59116960.37,2.225518157
600440,3,59116982.63,2.225770736
600450,3,59117004.88,2.226023381
600460,3,59117027.15,2.22627595
600470,3,59117049.41,2.226528446
600480,3,59117071.68,2.226781074
600490,3,59117093.95,2.227033945
600500,3,59117116.22,2.227286203
600510,3,59117138.49,2.227538939
600520,3,59117160.77,2.227791451
600530,3,59117183.05,2.228044032
600540,3,59117205.33,2.228296764
600550,3,59117227.61,2.228549409
600560,3,59117249.9,2.228801843
600570,3,59117272.19,2.229054717
600580,3,59117294.48,2.229307051
600590,3,59117316.78,2.229559572
600600,3,59117339.07,2.229812339
600610,3,59117361.37,2.230064768
600620,3,59117383.67,2.230317381
600630,3,59117405.98,2.230569954
600640,3,59117428.29,2.230822653
600650,3,59117450.6,2.231075267
600660,3,59117472.91,2.231327679
600670,3,59117495.22,2.231580139
600680,3,59117517.54,2.231832781
600690,3,59117539.86,2.232085158
600700,3,59117562.18,2.232337816
600710,3,59117584.5,2.232590419
600720,3,59117606.83,2.232842792
600730,3,59117629.16,2.233095383
600740,3,59117651.49,2.233347944
600750,3,59117673.83,2.233600417
600760,3,59117696.17,2.23385289
600770,3,59117718.51,2.234105327
600780,3,59117740.85,2.23435809
600790,3,59117763.19,2.234610596
600800,3,59117785.54,2.234862931
600810,3,59117807.89,2.235115397
600820,3,59117830.24,2.235367906
600830,3,59117852.6,2.235620369
600840,3,59117874.95,2.235872919
600850,3,59117897.31,2.23612524
600860,3,59117919.68,2.236377756
600870,3,59117942.04,2.236629933
600880,3,59117964.41,2.236882434
600890,3,59117986.78,2.237135043
600900,3,59118009.15,2.237387293
600910,3,59118031.53,2.237639856
600920,3,59118053.9,2.237892261
600930,3,59118076.29,2.238144641
600940,3,59118098.67,2.238396996
600950,3,59118121.05,2.238649484
600960,3,59118143.44,2.238901723
600970,3,59118165.83,2.239154279
600980,3,59118188.22,2.239406625
600990,3,59118210.62,2.239658968
601000,3,59118233.02,2.239911225
601010,3,59118255.42,2.240163461
601020,3,59118277.82,2.240415817
601030,3,59118300.23,2.24066816
601040,3,59118322.63,2.240920434
601050,3,59118345.04,2.241172705
601060,3,59118367.46,2.241424955
601070,3,59118389.87,2.241677228
601080,3,59118412.29,2.241929545
601090,3,59118434.71,2.242181787
601100,3,59118457.14,2.242434077
601110,3,59118479.56,2.242686333
601120,3,59118501.99,2.242938582
601130,3,59118524.42,2.243190489
601140,3,59118546.85,2.243442926
601150,3,59118569.29,2.243695094
601160,3,59118591.73,2.24394747
601170,3,59118614.17,2.24419947
601180,3,59118636.61,2.244451611
601190,3,59118659.06,2.244703935
601200,3,59118681.5,2.24495592
601210,3,59118703.95,2.245208174
601220,3,59118726.41,2.245460353
601230,3,59118748.86,2.24571222
601240,3,59118771.32,2.245964387
601250,3,59118793.78,2.246216642
601260,3,59118816.25,2.246468439
601270,3,59118838.71,2.246720705
601280,3,59118861.18,2.246972593
601290,3,59118883.65,2.247224763
601300,3,59118906.13,2.247476762
601310,3,59118928.6,2.24772862
601320,3,59118951.08,2.247980668
601330,3,59118973.56,2.24823266
601340,3,59118996.05,2.248484603
601350,3,59119018.53,2.248736632
601360,3,59119041.02,2.248988813
601370,3,59119063.51,2.249240509
601380,3,59119086,2.249492495
601390,3,59119108.5,2.249744317
601400,3,59119131,2.249996233
601410,3,59119153.5,2.250247991
601420,3,59119176,2.250500074
601430,3,59119198.51,2.250751726
601440,3,59119221.02,2.251003705
601450,3,59119243.53,2.251255269
601460,3,59119266.04,2.251507292
601470,3,59119288.56,2.25175909
601480,3,59119311.08,2.252010799
601490,3,59119333.6,2.252262708
601500,3,59119356.13,2.252514265
601510,3,59119378.65,2.252765971
601520,3,59119401.18,2.253017914
601530,3,59119423.71,2.253269353
601540,3,59119446.24,2.253521074
601550,3,59119468.78,2.253772739
601560,3,59119491.32,2.254024273
601570,3,59119513.86,2.254276023
601580,3,59119536.41,2.254527602
601590,3,59119558.95,2.254779376
601600,3,59119581.5,2.255030822
601610,3,59119604.05,2.25528244
601620,3,59119626.61,2.255533838
601630,3,59119649.16,2.255785496
601640,3,59119671.72,2.256037001
601650,3,59119694.28,2.256288603
601660,3,59119716.85,2.256539696
601670,3,59119739.42,2.256791467
601680,3,59119761.99,2.25704278
601690,3,59119784.56,2.257294309
601700,3,59119807.13,2.257545538
601710,3,59119829.71,2.257797188
601720,3,59119852.29,2.258048326
601730,3,59119874.87,2.258299825
601740,3,59119897.45,2.258551093
601750,3,59119920.04,2.258802239
601760,3,59119942.63,2.259053682
601770,3,59119965.22,2.259305051
601780,3,59119987.82,2.259556196
601790,3,59120010.41,2.25980761
601800,3,59120033.01,2.260058803
601810,3,59120055.61,2.260309889
601820,3,59120078.22,2.26056105
601830,3,59120100.83,2.260812246
601840,3,59120123.43,2.261063436
601850,3,59120146.05,2.26131472
601860,3,59120168.66,2.26156577
601870,3,59120191.28,2.261816569
601880,3,59120213.89,2.262067679
601890,3,59120236.52,2.262318661
601900,3,59120259.14,2.2625699
601910,3,59120281.77,2.262820806
601920,3,59120304.4,2.263071734
601930,3,59120327.03,2.26332288
601940,3,59120349.67,2.263573602
601950,3,59120372.3,2.263824678
601960,3,59120394.94,2.264075544
601970,3,59120417.58,2.264326296
601980,3,59120440.23,2.264577177
601990,3,59120462.87,2.264828058
602000,3,59120485.53,2.265078734
602010,3,59120508.18,2.265329497
602020,3,59120530.83,2.265580501
602030,3,59120553.49,2.265831132
602040,3,59120576.15,2.266081822
602050,3,59120598.81,2.26633242
602060,3,59120621.48,2.266583278
602070,3,59120644.14,2.266833848
602080,3,59120666.81,2.267084464
602090,3,59120689.48,2.26733509
602100,3,59120712.16,2.267585765
602110,3,59120734.84,2.267836207
602120,3,59120757.52,2.268086525
602130,3,59120780.2,2.268337216
602140,3,59120802.88,2.268587643
602150,3,59120825.57,2.268838129
602160,3,59120848.26,2.269088541
602170,3,59120870.95,2.269339158
602180,3,59120893.65,2.269589484
602190,3,59120916.34,2.269839571
602200,3,59120939.04,2.270090027
602210,3,59120961.75,2.270340478
602220,3,59120984.45,2.270590651
602230,3,59121007.16,2.270841061
602240,3,59121029.87,2.271091205
602250,3,59121052.58,2.271341346
602260,3,59121075.29,2.271591492
602270,3,59121098.01,2.271841625
602280,3,59121120.73,2.272091791
602290,3,59121143.45,2.272341963
602300,3,59121166.18,2.2725921
602310,3,59121188.9,2.272842087
602320,3,59121211.63,2.273092016
602330,3,59121234.37,2.273342138
602340,3,59121257.1,2.273592268
602350,3,59121279.84,2.273842176
602360,3,59121302.58,2.274091868
602370,3,59121325.32,2.27434199
602380,3,59121348.07,2.274591758
602390,3,59121370.81,2.274841478
602400,3,59121393.56,2.275091472
602410,3,59121416.31,2.275341438
602420,3,59121439.07,2.27559092
602430,3,59121461.82,2.275840706
602440,3,59121484.59,2.276090437
602450,3,59121507.35,2.276340032
602460,3,59121530.11,2.276589798
602470,3,59121552.88,2.276839457
602480,3,59121575.65,2.277088884
602490,3,59121598.42,2.277338523
602500,3,59121621.2,2.277588264
602510,3,59121643.97,2.277837612
602520,3,59121666.75,2.278086907
602530,3,59121689.53,2.278336442
602540,3,59121712.32,2.27858593
602550,3,59121735.11,2.278835172
602560,3,59121757.89,2.279084576
602570,3,59121780.69,2.27933372
602580,3,59121803.48,2.279583259
602590,3,59121826.28,2.279832385
602600,3,59121849.08,2.280081879
602610,3,59121871.88,2.280331033
602620,3,59121894.68,2.280580035
602630,3,59121917.49,2.280829307
602640,3,59121940.3,2.281078451
602650,3,59121963.11,2.281327417
602660,3,59121985.93,2.281576655
602670,3,59122008.75,2.281825501
602680,3,59122031.56,2.282074483
602690,3,59122054.39,2.282323596
602700,3,59122077.21,2.28257239
602710,3,59122100.04,2.282821293
602720,3,59122122.87,2.283070167
602730,3,59122145.7,2.283319099
602740,3,59122168.53,2.283567892
602750,3,59122191.37,2.283816484
602760,3,59122214.21,2.284065431
602770,3,59122237.05,2.284313946
602780,3,59122259.9,2.284562603
602790,3,59122282.74,2.28481145
602800,3,59122305.59,2.285059942
602810,3,59122328.44,2.285308535
602820,3,59122351.3,2.285556973
602830,3,59122374.16,2.285805647
602840,3,59122397.01,2.286054068
602850,3,59122419.88,2.286302445
602860,3,59122442.74,2.286550936
602870,3,59122465.61,2.286799137
602880,3,59122488.48,2.287047619
602890,3,59122511.35,2.287295761
602900,3,59122534.22,2.287543971
602910,3,59122557.1,2.287792386
602920,3,59122579.98,2.288040609
602930,3,59122602.86,2.288288801
602940,3,59122625.75,2.28853688
602950,3,59122648.63,2.288785015
602960,3,59122671.52,2.289033273
602970,3,59122694.41,2.289281141
602980,3,59122717.3,2.289529243
602990,3,59122740.2,2.289777033
603000,3,59122763.1,2.290025085
603010,3,59122786,2.290272859
603020,3,59122808.91,2.290520694
603030,3,59122831.81,2.29076847
603040,3,59122854.72,2.291016265
603050,3,59122877.63,2.291264178
603060,3,59122900.55,2.291511611
603070,3,59122923.46,2.291759504
603080,3,59122946.38,2.292007034
603090,3,59122969.3,2.292254801
603100,3,59122992.23,2.292502199
603110,3,59123015.16,2.292749706
603120,3,59123038.08,2.292997278
603130,3,59123061.01,2.293244692
603140,3,59123083.95,2.293492108
603150,3,59123106.88,2.29373961
603160,3,59123129.82,2.293986802
603170,3,59123152.76,2.294234194
603180,3,59123175.71,2.2944815
603190,3,59123198.65,2.294728472
603200,3,59123221.6,2.294975902
603210,3,59123244.55,2.29522295
603220,3,59123267.51,2.295470092
603230,3,59123290.46,2.295717138
603240,3,59123313.42,2.295964215
603250,3,59123336.38,2.296211151
603260,3,59123359.35,2.296458208
603270,3,59123382.31,2.29670501
603280,3,59123405.28,2.296951954
603290,3,59123428.25,2.297198774
603300,3,59123451.22,2.297445552
603310,3,59123474.2,2.29769241
603320,3,59123497.18,2.297939254
603330,3,59123520.16,2.298185724
603340,3,59123543.14,2.298432289
603350,3,59123566.13,2.298678869
603360,3,59123589.11,2.298925516
603370,3,59123612.11,2.299171882
603380,3,59123635.1,2.299418645
603390,3,59123658.1,2.299664959
603400,3,59123681.09,2.299911355
603410,3,59123704.09,2.300157711
603420,3,59123727.09,2.300403875
603430,3,59123750.1,2.300650562
603440,3,59123773.11,2.300896535
603450,3,59123796.12,2.301142787
603460,3,59123819.13,2.301388868
603470,3,59123842.14,2.301635128
603480,3,59123865.16,2.301880961
603490,3,59123888.18,2.302127075
603500,3,59123911.2,2.302373148
603510,3,59123934.23,2.302618994
603520,3,59123957.26,2.302864875
603530,3,59123980.29,2.303110777
603540,3,59124003.32,2.303356621
603550,3,59124026.36,2.303602264
603560,3,59124049.39,2.303848277
603570,3,59124072.43,2.30409373
603580,3,59124095.47,2.304339504
603590,3,59124118.52,2.304585008
603600,3,59124141.57,2.304830278
603610,3,59124164.62,2.305076168
603620,3,59124187.67,2.305321717
603630,3,59124210.72,2.305567052
603640,3,59124233.78,2.305812282
603650,3,59124256.84,2.306057626
603660,3,59124279.9,2.306302977
603670,3,59124302.97,2.306548229
603680,3,59124326.03,2.306793465
603690,3,59124349.1,2.307038593
603700,3,59124372.17,2.307283728
603710,3,59124395.25,2.307528835
603720,3,59124418.32,2.307773748
603730,3,59124441.4,2.308018897
603740,3,59124464.48,2.308263743
603750,3,59124487.57,2.308508821
603760,3,59124510.65,2.308753352
603770,3,59124533.74,2.308998295
603780,3,59124556.83,2.309243059
603790,3,59124579.93,2.309487546
603800,3,59124603.02,2.309732487
603810,3,59124626.12,2.309976903
603820,3,59124649.22,2.31022154
603830,3,59124672.33,2.310466047
603840,3,59124695.43,2.310710434
603850,3,59124718.54,2.310954938
603860,3,59124741.65,2.311199387
603870,3,59124764.76,2.311443732
603880,3,59124787.88,2.3116881
603890,3,59124811,2.311932189
603900,3,59124834.12,2.312176592
603910,3,59124857.24,2.312420566
603920,3,59124880.36,2.312664778
603930,3,59124903.49,2.312908718
603940,3,59124926.62,2.313152623
603950,3,59124949.76,2.313396573
603960,3,59124972.89,2.31364052
603970,3,59124996.03,2.313884495
603980,3,59125019.17,2.314128365
603990,3,59125042.31,2.314372123
604000,3,59125065.46,2.314615744
604010,3,59125088.61,2.314859436
604020,3,59125111.75,2.315103215
604030,3,59125134.91,2.31534656
604040,3,59125158.06,2.315590208
604050,3,59125181.22,2.315833602
604060,3,59125204.38,2.316077094
604070,3,59125227.54,2.316320238
604080,3,59125250.7,2.316563716
604090,3,59125273.87,2.316806883
604100,3,59125297.04,2.317050046
604110,3,59125320.21,2.317293431
604120,3,59125343.39,2.317536456
604130,3,59125366.56,2.317779453
604140,3,59125389.74,2.318022488
604150,3,59125412.93,2.318265605
604160,3,59125436.11,2.318508465
604170,3,59125459.29,2.318751351
604180,3,59125482.48,2.318994082
604190,3,59125505.67,2.319236803
604200,3,59125528.87,2.319479578
604210,3,59125552.06,2.319722258
604220,3,59125575.26,2.319964749
604230,3,59125598.46,2.320207538
604240,3,59125621.66,2.320450057
604250,3,59125644.87,2.320692607
604260,3,59125668.08,2.320934603
604270,3,59125691.29,2.321177051
604280,3,59125714.5,2.321419608
604290,3,59125737.72,2.321661636
604300,3,59125760.94,2.321904062
604310,3,59125784.16,2.322146054
604320,3,59125807.38,2.322388113
604330,3,59125830.6,2.322629931
604340,3,59125853.83,2.322872179
604350,3,59125877.06,2.323114022
604360,3,59125900.29,2.323356013
604370,3,59125923.53,2.323597814
604380,3,59125946.77,2.323839591
604390,3,59125970.01,2.324081231
604400,3,59125993.25,2.324322731
604410,3,59126016.49,2.324564455
604420,3,59126039.74,2.324806138
604430,3,59126062.99,2.325047583
604440,3,59126086.24,2.325288882
604450,3,59126109.49,2.325530418
604460,3,59126132.75,2.3257717
604470,3,59126156.01,2.326012896
604480,3,59126179.27,2.32625436
604490,3,59126202.53,2.326495381
604500,3,59126225.8,2.326736511
604510,3,59126249.07,2.32697759
604520,3,59126272.34,2.327218534
604530,3,59126295.61,2.327459496
604540,3,59126318.89,2.327700519
604550,3,59126342.17,2.327940996
604560,3,59126365.45,2.328182095
604570,3,59126388.73,2.328422627
604580,3,59126412.02,2.328663504
604590,3,59126435.3,2.328904051
604600,3,59126458.6,2.329144491
604610,3,59126481.89,2.329385136
604620,3,59126505.18,2.329625569
604630,3,59126528.48,2.329865796
604640,3,59126551.78,2.330106254
604650,3,59126575.08,2.330346656
604660,3,59126598.39,2.330586676
604670,3,59126621.69,2.330827076
604680,3,59126645,2.331067037
604690,3,59126668.32,2.331307176
604700,3,59126691.63,2.331547178
604710,3,59126714.94,2.331787105
604720,3,59126738.26,2.332026777
604730,3,59126761.59,2.332266535
604740,3,59126784.91,2.332506307
604750,3,59126808.24,2.332746146
604760,3,59126831.57,2.332985649
604770,3,59126854.9,2.333225245
604780,3,59126878.23,2.333464852
604790,3,59126901.57,2.333704116
604800,3,59126924.9,2.333943756
604810,3,59126948.24,2.334183253
604820,3,59126971.59,2.334422383
604830,3,59126994.93,2.334661587
604840,3,59127018.28,2.334900758
604850,3,59127041.63,2.335139817
604860,3,59127064.98,2.335378949
604870,3,59127088.34,2.335618007
604880,3,59127111.7,2.335856639
604890,3,59127135.06,2.336095734
604900,3,59127158.42,2.336334403
604910,3,59127181.78,2.336573227
604920,3,59127205.15,2.336812043
604930,3,59127228.52,2.337050539
604940,3,59127251.89,2.337289209
604950,3,59127275.26,2.337527808
604960,3,59127298.64,2.337766079
604970,3,59127322.02,2.338004464
604980,3,59127345.4,2.33824274
604990,3,59127368.78,2.338481147
605000,3,59127392.17,2.338719144
605010,3,59127415.56,2.33895726
605020,3,59127438.95,2.339195258
605030,3,59127462.34,2.339433367
605040,3,59127485.74,2.339671349
605050,3,59127509.14,2.339909199
605060,3,59127532.54,2.340147044
605070,3,59127555.94,2.340384891
605080,3,59127579.34,2.340622553
605090,3,59127602.75,2.340860135
605100,3,59127626.16,2.341097791
605110,3,59127649.58,2.341335177
605120,3,59127672.99,2.341572484
605130,3,59127696.41,2.341810042
605140,3,59127719.82,2.342047348
605150,3,59127743.25,2.342284652
605160,3,59127766.67,2.342521763
605170,3,59127790.1,2.342758882
605180,3,59127813.52,2.34299607
605190,3,59127836.96,2.343232788
605200,3,59127860.39,2.343469814
605210,3,59127883.82,2.343706831
605220,3,59127907.26,2.343943762
605230,3,59127930.7,2.344180468
605240,3,59127954.15,2.344417221
605250,3,59127977.59,2.344653629
605260,3,59128001.04,2.344890119
605270,3,59128024.49,2.345126939
605280,3,59128047.94,2.34536323
605290,3,59128071.4,2.345599656
605300,3,59128094.85,2.345835527
605310,3,59128118.31,2.346072007
605320,3,59128141.78,2.346308203
605330,3,59128165.24,2.346544369
605340,3,59128188.71,2.346780305
605350,3,59128212.18,2.34701618
605360,3,59128235.65,2.347251895
605370,3,59128259.12,2.347487889
605380,3,59128282.6,2.347723694
605390,3,59128306.08,2.347959329
605400,3,59128329.56,2.348195075
605410,3,59128353.04,2.348430633
605420,3,59128376.52,2.34866606
605430,3,59128400.01,2.348901606
605440,3,59128423.5,2.349136827
605450,3,59128447,2.349372179
605460,3,59128470.49,2.349607269
605470,3,59128493.99,2.349842441
605480,3,59128517.49,2.350077629
605490,3,59128540.99,2.350312819
605500,3,59128564.49,2.350547719
605510,3,59128588,2.350782465
605520,3,59128611.51,2.351017302
605530,3,59128635.02,2.351252188
605540,3,59128658.54,2.351486681
605550,3,59128682.05,2.351721187
605560,3,59128705.57,2.351955792
605570,3,59128729.09,2.352190514
605580,3,59128752.61,2.352424756
605590,3,59128776.14,2.352659159
605600,3,59128799.67,2.352893427
605610,3,59128823.2,2.353127618
605620,3,59128846.73,2.353361806
605630,3,59128870.26,2.353595753
605640,3,59128893.8,2.353829563
605650,3,59128917.34,2.35406366
605660,3,59128940.88,2.354297607
605670,3,59128964.42,2.354531321
605680,3,59128987.97,2.354765159
605690,3,59129011.52,2.354998546
605700,3,59129035.07,2.355232262
605710,3,59129058.63,2.35546575
605720,3,59129082.18,2.355699105
605730,3,59129105.74,2.355932525
605740,3,59129129.3,2.356165989
605750,3,59129152.86,2.356398964
605760,3,59129176.43,2.35663224
605770,3,59129200,2.356865258
605780,3,59129223.57,2.357098181
605790,3,59129247.14,2.357331054
605800,3,59129270.71,2.357564127
605810,3,59129294.29,2.357796719
605820,3,59129317.87,2.35802954
605830,3,59129341.45,2.358262098
605840,3,59129365.03,2.3584948
605850,3,59129388.62,2.358727112
605860,3,59129412.21,2.358959538
605870,3,59129435.8,2.359192192
605880,3,59129459.39,2.359424373
605890,3,59129482.99,2.359656476
605900,3,59129506.58,2.359888701
605910,3,59129530.19,2.360120748
605920,3,59129553.79,2.360352597
605930,3,59129577.39,2.36058439
605940,3,59129601,2.360816309
605950,3,59129624.61,2.361048237
605960,3,59129648.22,2.361279786
605970,3,59129671.83,2.361511514
605980,3,59129695.45,2.36174297
605990,3,59129719.07,2.361974568
606000,3,59129742.69,2.362206089
606010,3,59129766.31,2.362437292
606020,3,59129789.94,2.362668561
606030,3,59129813.57,2.362899772
606040,3,59129837.2,2.363130793
606050,3,59129860.83,2.36336183
606060,3,59129884.46,2.363592865
606070,3,59129908.1,2.363823649
606080,3,59129931.74,2.364054432
606090,3,59129955.38,2.364285258
606100,3,59129979.03,2.36451574
606110,3,59130002.67,2.364746465
606120,3,59130026.32,2.364976751
606130,3,59130049.97,2.365207483
606140,3,59130073.62,2.365437707
606150,3,59130097.28,2.365667878
606160,3,59130120.94,2.365897952
606170,3,59130144.6,2.366128193
606180,3,59130168.26,2.366358479
606190,3,59130191.93,2.366588125
606200,3,59130215.59,2.366818079
606210,3,59130239.26,2.367048039
606220,3,59130262.94,2.367277834
606230,3,59130286.61,2.367507367
606240,3,59130310.28,2.367736874
606250,3,59130333.96,2.36796644
606260,3,59130357.64,2.368195837
606270,3,59130381.33,2.368425123
606280,3,59130405.01,2.368654427
606290,3,59130428.7,2.368883724
606300,3,59130452.39,2.369112874
606310,3,59130476.08,2.369341875
606320,3,59130499.78,2.369570784
606330,3,59130523.47,2.369799555
606340,3,59130547.17,2.370028419
606350,3,59130570.87,2.370257104
606360,3,59130594.58,2.370485809
606370,3,59130618.28,2.370714553
606380,3,59130641.99,2.370942933
606390,3,59130665.7,2.371171267
606400,3,59130689.41,2.371399489
606410,3,59130713.13,2.371628003
606420,3,59130736.85,2.371855933
606430,3,59130760.57,2.372084193
606440,3,59130784.29,2.372312269
606450,3,59130808.01,2.372540076
606460,3,59130831.74,2.372767996
606470,3,59130855.47,2.372995636
606480,3,59130879.2,2.373223503
606490,3,59130902.93,2.37345101
606500,3,59130926.67,2.373678609
606510,3,59130950.41,2.37390596
606520,3,59130974.15,2.374133547
606530,3,59130997.89,2.374360653
606540,3,59131021.63,2.374587809
606550,3,59131045.38,2.374815034
606560,3,59131069.13,2.375041922
606570,3,59131092.88,2.37526895
606580,3,59131116.64,2.375495941
606590,3,59131140.39,2.375722869
606600,3,59131164.15,2.375949406
606610,3,59131187.91,2.376176064
606620,3,59131211.67,2.376402606
606630,3,59131235.44,2.376628963
606640,3,59131259.21,2.376855673
606650,3,59131282.98,2.377081704
606660,3,59131306.75,2.377307922
606670,3,59131330.52,2.37753407
606680,3,59131354.3,2.377760245
606690,3,59131378.08,2.377986303
606700,3,59131401.86,2.37821221
606710,3,59131425.64,2.37843809
606720,3,59131449.43,2.378663728
606730,3,59131473.22,2.378889347
606740,3,59131497.01,2.379114805
606750,3,59131520.8,2.379340441
606760,3,59131544.59,2.379565859
606770,3,59131568.39,2.37979113
