Time (s),Station ID,Range (km),Range Rate (km/s)
520040,3,58937578.67,2.400154038
520050,3,58937602.67,2.400382225
520060,3,58937626.68,2.400610281
520070,3,58937650.69,2.400838221
520080,3,58937674.7,2.401066142
520090,3,58937698.71,2.401293972
520100,3,58937722.72,2.401521643
520110,3,58937746.74,2.401749132
520120,3,58937770.76,2.401976655
520130,3,58937794.78,2.402204193
520140,3,58937818.8,2.402431637
520150,3,58937842.83,2.402658906
520160,3,58937866.85,2.402886417
520170,3,58937890.89,2.403113122
520180,3,58937914.92,2.403340499
520190,3,58937938.95,2.40356744
520200,3,58937962.99,2.403794325
520210,3,58937987.03,2.404020925
520220,3,58938011.07,2.404247633
520230,3,58938035.11,2.404474364
520240,3,58938059.16,2.404700971
520250,3,58938083.21,2.404927527
520260,3,58938107.26,2.405153825
520270,3,58938131.31,2.405380282
520280,3,58938155.36,2.405606384
520290,3,58938179.42,2.405832583
520300,3,58938203.48,2.406058792
520310,3,58938227.54,2.406284741
520320,3,58938251.61,2.406510631
520330,3,58938275.67,2.40673664
520340,3,58938299.74,2.406962281
520350,3,58938323.81,2.407187827
520360,3,58938347.89,2.407413536
520370,3,58938371.96,2.407639148
520380,3,58938396.04,2.407864476
520390,3,58938420.12,2.408089768
520400,3,58938444.2,2.408315122
520410,3,58938468.28,2.408540397
520420,3,58938492.37,2.408765507
520430,3,58938516.46,2.408990458
520440,3,58938540.55,2.40921533
520450,3,58938564.64,2.409440254
520460,3,58938588.74,2.409664813
520470,3,58938612.84,2.409889519
520480,3,58938636.94,2.410114059
520490,3,58938661.04,2.410338672
520500,3,58938685.14,2.410562969
520510,3,58938709.25,2.410787219
520520,3,58938733.36,2.411011583
520530,3,58938757.47,2.411235647
520540,3,58938781.58,2.411459779
520550,3,58938805.7,2.411683785
520560,3,58938829.82,2.411907816
520570,3,58938853.94,2.412131579
520580,3,58938878.06,2.412355164
520590,3,58938902.18,2.412578935
520600,3,58938926.31,2.412802692
520610,3,58938950.44,2.413026091
520620,3,58938974.57,2.413249578
520630,3,58938998.71,2.413472603
520640,3,58939022.84,2.413695888
520650,3,58939046.98,2.413919006
520660,3,58939071.12,2.414141994
520670,3,58939095.26,2.414365124
520680,3,58939119.41,2.414587932
520690,3,58939143.56,2.414810756
520700,3,58939167.7,2.415033505
520710,3,58939191.86,2.415256172
520720,3,58939216.01,2.415478482
520730,3,58939240.16,2.415700914
520740,3,58939264.32,2.415923547
520750,3,58939288.48,2.416145627
520760,3,58939312.65,2.416367755
520770,3,58939336.81,2.416589828
520780,3,58939360.98,2.416811792
520790,3,58939385.15,2.417033641
520800,3,58939409.32,2.417255681
520810,3,58939433.49,2.41747738
520820,3,58939457.67,2.41769897
520830,3,58939481.84,2.417920367
520840,3,58939506.03,2.418142039
520850,3,58939530.21,2.418363292
520860,3,58939554.39,2.418584724
520870,3,58939578.58,2.418806007
520880,3,58939602.77,2.419027023
520890,3,58939626.96,2.419248118
520900,3,58939651.15,2.419469075
520910,3,58939675.35,2.419689792
520920,3,58939699.55,2.419910595
520930,3,58939723.75,2.420131251
520940,3,58939747.95,2.420351769
520950,3,58939772.15,2.42057246
520960,3,58939796.36,2.420792624
520970,3,58939820.57,2.421012969
520980,3,58939844.78,2.421233294
520990,3,58939868.99,2.421453304
521000,3,58939893.21,2.421673391
521010,3,58939917.43,2.421893428
521020,3,58939941.65,2.422113133
521030,3,58939965.87,2.42233299
521040,3,58939990.1,2.422552576
521050,3,58940014.32,2.422772132
521060,3,58940038.55,2.422991848
521070,3,58940062.78,2.423211
521080,3,58940087.02,2.423430571
521090,3,58940111.25,2.42364941
521100,3,58940135.49,2.423868613
521110,3,58940159.73,2.424087769
521120,3,58940183.97,2.424306633
521130,3,58940208.22,2.424525608
521140,3,58940232.46,2.424744313
521150,3,58940256.71,2.424963225
521160,3,58940280.96,2.425181684
521170,3,58940305.21,2.425400025
521180,3,58940329.47,2.425618486
521190,3,58940353.73,2.425836826
521200,3,58940377.99,2.426054889
521210,3,58940402.25,2.426273148
521220,3,58940426.51,2.426491077
521230,3,58940450.78,2.426708923
521240,3,58940475.05,2.426926665
521250,3,58940499.32,2.427144475
521260,3,58940523.59,2.427361982
521270,3,58940547.86,2.427579743
521280,3,58940572.14,2.4277972
521290,3,58940596.42,2.428014522
521300,3,58940620.7,2.428231826
521310,3,58940644.98,2.428448924
521320,3,58940669.27,2.42866588
521330,3,58940693.56,2.428882855
521340,3,58940717.85,2.429099938
521350,3,58940742.14,2.429316461
521360,3,58940766.44,2.429533304
521370,3,58940790.73,2.429749923
521380,3,58940815.03,2.42996665
521390,3,58940839.33,2.430182774
521400,3,58940863.63,2.430399038
521410,3,58940887.94,2.43061535
521420,3,58940912.24,2.430831699
521430,3,58940936.55,2.431047634
521440,3,58940960.87,2.431263536
521450,3,58940985.18,2.431479425
521460,3,58941009.49,2.431695083
521470,3,58941033.81,2.431910733
521480,3,58941058.13,2.432126228
521490,3,58941082.46,2.432341737
521500,3,58941106.78,2.432557148
521510,3,58941131.1,2.432772317
521520,3,58941155.43,2.432987656
521530,3,58941179.77,2.43320249
521540,3,58941204.1,2.433417703
521550,3,58941228.44,2.433632335
521560,3,58941252.77,2.433847001
521570,3,58941277.11,2.434061916
521580,3,58941301.45,2.434276484
521590,3,58941325.8,2.434490874
521600,3,58941350.14,2.434705201
521610,3,58941374.49,2.434919727
521620,3,58941398.84,2.435133729
521630,3,58941423.19,2.435347969
521640,3,58941447.55,2.43556209
521650,3,58941471.9,2.43577566
521660,3,58941496.26,2.435989665
521670,3,58941520.63,2.436203246
521680,3,58941544.99,2.436416985
521690,3,58941569.35,2.436630347
521700,3,58941593.72,2.43684393
521710,3,58941618.09,2.437057058
521720,3,58941642.46,2.437270313
521730,3,58941666.83,2.437483407
521740,3,58941691.21,2.437696254
521750,3,58941715.59,2.43790934
521760,3,58941739.97,2.438122245
